power2Size: 32
Color: 1 , upperR: 7  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 0 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 5  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 5  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 4 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 5  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 5  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 6 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 4 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 7  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 6  , upperC: 6 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 4  , upperC: 4 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 0 , Size: 8 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 8 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 1  , upperC: 9 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 8 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 10, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 11, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
